source_url,source_title,collection,source_kind,authors,years,entry_count
https://doi.org/10.4230/DagRep.15.3.159,Approximation Algorithms for Stochastic Optimization,Dagstuhl Reports,original_collection,Andrés Cristi,2025,6
https://doi.org/10.4230/DagRep.15.3.56,Computational Complexity of Discrete Problems,Dagstuhl Reports,original_collection,Hanlin Ren,2025,2
https://doi.org/10.4230/DagRep.15.5.1,Adaptive and Scalable Data Structures,Dagstuhl Reports,original_collection,Martin Farach-Colton,2025,10
https://doi.org/10.4230/DagRep.15.5.134,Metric Sketching and Dynamic Algorithms for Geometric and Topological Graphs,Dagstuhl Reports,original_collection,Nicole Wein,2025,9
https://doi.org/10.4230/DagRep.15.5.64,Computational Geometry,Dagstuhl Reports,original_collection,"Marc Glisse, Jeff M. Phillips",2025,7
https://doi.org/10.4230/DagRep.15.8.29,Frontiers of Parameterized Algorithmics of Matching under Preferences,Dagstuhl Reports,original_collection,Sushmita Gupta,2025,1
https://doi.org/10.4230/DagRep.15.9.21,Precision in Geometric Algorithms,Dagstuhl Reports,original_collection,Jack Stade,2025,5
https://doi.org/10.4230/DagRep.15.9.58,Quantum Error Correction Meets ZX-Calculus,Dagstuhl Reports,original_collection,Julio Carlos Magdalena de la Fuente,2025,3
https://doi.org/10.4230/DagRep.2.1.19,"Computability, Complexity and Randomness",Dagstuhl Reports,original_collection,Alexander Shen,2012,13
https://doi.org/10.4230/DagRep.3.10.36,Algorithms for Optimization Problems in Planar Graphs,Dagstuhl Reports,original_collection,Marcin Pilipczuk,2013,11
https://doi.org/10.4230/DagRep.3.4.34,Drawing Graphs and Maps with Curves,Dagstuhl Reports,original_collection,,2013,4
https://doi.org/10.4230/DagRep.3.4.69,"Interface of Computation, Game Theory, and Economics",Dagstuhl Reports,original_collection,Hervé Moulin,2013,1
https://doi.org/10.4230/DagRep.3.8.40,Exponential Algorithms: Algorithms and Complexity Beyond Polynomial Time,Dagstuhl Reports,original_collection,Łukasz Kowalik,2013,16
https://doi.org/10.4230/DagRep.4.11.1,Optimality and Tight Results in Parameterized Complexity,Dagstuhl Reports,original_collection,Virginia Vassilevska Williams,2014,7
https://doi.org/10.4230/DagRep.4.2.38,Graph Modification Problems,Dagstuhl Reports,original_collection,Henning Fernau,2014,8
https://doi.org/10.4230/DagRep.4.8.73,Equilibrium Computation,Dagstuhl Reports,original_collection,,2014,6
https://doi.org/10.4230/DagRep.5.6.28,Complexity of Symbolic and Numerical Problems,Dagstuhl Reports,original_collection,Diam Grigoriev,2015,8
https://doi.org/10.4230/DagRep.5.9.105,"Circuits, Logic and Games",Dagstuhl Reports,original_collection,Mikołaj Bojańczyk,2015,4
https://doi.org/10.4230/DagRep.6.2.97,Scheduling,Dagstuhl Reports,original_collection,Christoph Dürr,2016,11
https://doi.org/10.4230/DagRep.6.3.1,Data Structures and Advanced Models of Computation on Big Data,Dagstuhl Reports,original_collection,Deepak Ajwani,2016,2
https://doi.org/10.4230/DagRep.6.5.94,Algorithms for Optimization Problems in Planar Graphs,Dagstuhl Reports,original_collection,Hans L. Bodlaender,2016,10
https://doi.org/10.4230/DagRep.6.6.26,Graph Polynomials: Towards a Comparative Theory,Dagstuhl Reports,original_collection,Graham Farr,2016,8
https://doi.org/10.4230/DagRep.6.9.94,Foundations of Unsupervised Learning,Dagstuhl Reports,original_collection,Barbara Hammer,2016,1
https://doi.org/10.4230/DagRep.7.1.103,Randomization in Parameterized Complexity,Dagstuhl Reports,original_collection,Bingkai Lin,2017,13
https://doi.org/10.4230/DagRep.7.3.45,Computational Complexity of Discrete Problems,Dagstuhl Reports,original_collection,Or Meir,2017,2
https://doi.org/10.4230/DagRep.7.4.107,Computational Geometry,Dagstuhl Reports,original_collection,Joseph S. B. Mitchell,2017,7
https://doi.org/10.4230/DagRep.8.10.63,"Algorithmic Enumeration: Output-sensitive, Input-Sensitive, Parameterized, Approximative",Dagstuhl Reports,original_collection,Michael R. Fellows and Frances Rosamond,2018,11
https://doi.org/10.4230/DagRep.8.2.64,Designing and Implementing Algorithms for Mixed-Integer Nonlinear Optimization,Dagstuhl Reports,original_collection,,2018,1
https://doi.org/10.4230/DagRep.8.3.1,Scheduling,Dagstuhl Reports,original_collection,Michael Dinitz,2018,3
https://doi.org/10.4230/DagRep.8.9.1,Measuring the Complexity of Computational Content: From Combinatorial Problems to Analysis,Dagstuhl Reports,original_collection,Matthias Schröder,2018,10
https://doi.org/10.4230/DagRep.9.1.67,New Horizons in Parameterized Complexity,Dagstuhl Reports,original_collection,Holger Dell,2019,6
https://doi.org/10.4230/DagRep.9.10.134,Algorithms and Complexity in Phylogenetics,Dagstuhl Reports,original_collection,Leo van Iersel,2019,9
https://doi.org/10.4230/DagRep.9.3.83,Algorithmic Problems in Group Theory,Dagstuhl Reports,original_collection,Andrew Duncan,2019,7
https://doi.org/10.4230/DagRep.9.4.107,Computational Geometry,Dagstuhl Reports,original_collection,Hans Raj Tiwary,2019,15
https://doi.org/10.4230/DagRep.9.6.125,Graph Colouring: from Structure to Algorithms,Dagstuhl Reports,original_collection,Daniel Paulusma,2019,6
https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2014.160,Constrained Monotone Function Maximization and the Supermodular Degree,APPROX/RANDOM,conference_paper,"Feldman, Moran; Izsak, Rani",2014,1
https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2014.209,Deliver or hold: Approximation Algorithms for the Periodic Inventory Routing Problem,APPROX/RANDOM,conference_paper,"Fukunaga, Takuro; Nikzad, Afshin; Ravi, R.",2014,1
https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2014.258,Discrepancy Without Partial Colorings,APPROX/RANDOM,conference_paper,"Harvey, Nicholas J. A.; Schwartz, Roy; Singh, Mohit",2014,1
https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2014.34,The Cover Number of a Matrix and its Algorithmic Applications,APPROX/RANDOM,conference_paper,"Alon, Noga; Lee, Troy; Shraibman, Adi",2014,1
https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2014.356,Robust Appointment Scheduling,APPROX/RANDOM,conference_paper,"Mittal, Shashi; Schulz, Andreas S.; Stiller, Sebastian",2014,1
https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2014.596,The Power of Super-logarithmic Number of Players,APPROX/RANDOM,conference_paper,"Chattopadhyay, Arkadev; Saks, Michael E.",2014,1
https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2014.748,Evading Subspaces Over Large Fields and Explicit List-decodable Rank-metric Codes,APPROX/RANDOM,conference_paper,"Guruswami, Venkatesan; Wang, Carol",2014,1
https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2014.793,Embedding Hard Learning Problems Into Gaussian Space,APPROX/RANDOM,conference_paper,"Klivans, Adam; Kothari, Pravesh",2014,1
https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2014.810,Smoothed Analysis on Connected Graphs,APPROX/RANDOM,conference_paper,"Krivelevich, Michael; Reichman, Daniel; Samotij, Wojciech",2014,1
https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2015.110,Beating the Random Assignment on Constraint Satisfaction Problems of Bounded Degree,APPROX/RANDOM,conference_paper,"Barak, Boaz; Moitra, Ankur; O’Donnell, Ryan; Raghavendra, Prasad; Regev, Oded; Steurer, David; Trevisan, Luca; Vijayaraghavan, Aravindan; Witmer, David; Wright, John",2015,1
https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2015.175,Stochastic and Robust Scheduling in the Cloud,APPROX/RANDOM,conference_paper,"Chen, Lin; Megow, Nicole; Rischke, Roman; Stougie, Leen",2015,1
https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2015.323,Sequential Importance Sampling Algorithms for Estimating the All-Terminal Reliability Polynomial of Sparse Graphs,APPROX/RANDOM,conference_paper,"Harris, David G.; Sullivan, Francis",2015,1
https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2015.341,Improved NP-Inapproximability for 2-Variable Linear Equations,APPROX/RANDOM,conference_paper,"Håstad, Johan; Huang, Sangxia; Manokaran, Rajsekar; O’Donnell, Ryan; Wright, John",2015,1
https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2015.416,The Container Selection Problem,APPROX/RANDOM,conference_paper,"Nagarajan, Viswanath; Sarpatwar, Kanthi K.; Schieber, Baruch; Shachnai, Hadas; Wolf, Joel L.",2015,1
https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2015.544,Correlation in Hard Distributions in Communication Complexity,APPROX/RANDOM,conference_paper,"Bottesch, Ralph Christian; Gavinsky, Dmitry; Klauck, Hartmut",2015,1
