Learning theory
TCS-0023 [index;landmark;uncertain] Learning growing-size DNFs under uniform inputs
TCS-2827 [index;source_question_passage;uncertain] Universal Online Learning with Unbounded Losses: Memory Is All You Need | In the case of bounded losses, both the question of the existence of optimistically universal online learning rules, and of concisely characterizing the set SUOL, […]
TCS-2828 [index;source_question_passage;uncertain] Inductive Bias of Gradient Descent for Weight Normalized Smooth Homogeneous Neural Nets | Although the trajectory based assumptions have been shown to hold for gradient flow on unnormalized nets under certain regularity conditions, establishing similar conditions for weight […]
TCS-2829 [index;source_question_passage;uncertain] Hardness of Maximum Likelihood Learning of DPPs | If the cardinality of every subset in a training set is at most k ≥ 1, then every optimal maximum likelihood marginal kernel for the […]
TCS-2832 [index;source_question_passage;uncertain] Width is Less Important than Depth in ReLU Neural Networks | We conjecture that it is not possible to achieve a similar construction to ours with width less than d + 2, unless we increase the […]
TCS-2833 [index;source_question_passage;uncertain] Eigenspace Restructuring: A Principle of Space and Frequency in Neural Networks | We conjecture that hierarchical localities are also the key ingredient to break the curse of dimensionality for approximation in finite-width neural networks, bringing down the […]
TCS-2849 [index;source_question_passage;uncertain] A Variant of the VC-Dimension with Applications to Depth-3 Circuits | In our case however we conjecture that there is a unique extremal example which might mean that the problem is easier.
TCS-2873 [index;source_question_passage;uncertain] On Polynomial Kernels for Traveling Salesperson Problem and Its Generalizations | Is there a polynomial kernel with respect to r-pvc for constant r?
TCS-2939 [index;source_question_passage;uncertain] Depth and Feature Learning are Provably Beneficial for Neural Network Discriminators | Can the distributions analyzed in the paper be generated by a neural network (of moderate size)?
TCS-2965 [index;source_question_passage;uncertain] Iterated Vector Fields and Conservatism, with Applications to Federated Learning | A bound in the general strongly convex setting (not assuming k-conservatism) was given by Malinovskiy et al. (2020, Theorem 2.14), though whether this bound can […]
TCS-2968 [index;source_question_passage;uncertain] Generalization Bounds via Convex Analysis | Whether such arguments can be applied to remove the dependence on d from the above bound is a curious problem we leave open for future […]
TCS-2980 [index;source_question_passage;uncertain] An Efficient Minimax Optimal Estimator For Multivariate Convex Regression | Unfortunately, we do not know how to identify the simplices of SX , but we do know that they belong to the collection of all […]
TCS-3017 [index;source_question_passage;uncertain] Comparison Graphs: A Unified Method for Uniformity Testing | We leave open an interesting question posed also in [12]: is it possible to test for uniformity in the scarce regime, and if so – […]
TCS-3109 [index;source_question_passage;uncertain] Learning and Testing Irreducible Markov Chains via the $k$-Cover Time | We leave the tight characterization of k-cover time for irreducible chains as an open problem, but we conjecture the lower bound to be tight.
TCS-3110 [index;source_question_passage;uncertain] Breaking The Dimension Dependence in Sparse Distribution Estimation under Communication Constraints | We conjecture that the lower bound on n∗ (s, b, d) is tight, and the non-interactive schemes can be further improved.
TCS-3111 [index;source_question_passage;uncertain] Query complexity of least absolute deviation regression via robust uniform convergence | Moreover, the query complexity question remains open for a number of other robust losses, such as the Huber loss and the Tukey loss.
TCS-3112 [index;source_question_passage;uncertain] Impossible Tuning Made Possible: A New Expert Algorithm and Its Applications | We leave the possibility of achieving such a bound as an open problem.
TCS-3114 [index;source_question_passage;uncertain] Open Problem: Is There an Online Learning Algorithm That Learns Whenever Online Learning Is Possible? | Thus, the case that remains open concerns uncountable X and general (random) sequences X.
TCS-3116 [index;source_question_passage;uncertain] Exponential Weights Algorithms for Selective Learning | One of the most obvious problems that we leave open is to close the gap between the bounds in Theorems 5 and 6.
TCS-3117 [index;source_question_passage;uncertain] Memory-Sample Lower Bounds for Learning Parity with Noise | Any learner that tries to learn x ∈ {0, 1}n from a stream of samples of the form (a, b), where a ∈ {0, 1}n […]
TCS-3127 [index;source_question_passage;uncertain] Efficient Splitting of Necklaces | 5 Extensions and open problems We conclude with some generalizations of the algorithms presented and the lower bounds obtained, and with comments on some of […]
