TCS-6446	Quantum PCP: a constant promise gap for local Hamiltonians	The Quantum PCP Conjecture
TCS-3618	It is an open question if k-LH is QMA-complete for β − α = O(1) while maintaining k constant [2].	A Simple Protocol for Verifiable Delegation of Quantum Computation in One Round
TCS-3629	Identifying situations where DR in 2D with bounded interaction strength is possible remains an open question.	Hamiltonian Sparsification and Gap-Simulation
TCS-3652	Unfortunately, we do not know if tf(d,qiskit) performs better at larger sizes because Qiskit’s circuit transformation is not fast enough to generate the relevant data.	Circuit Transformations for Quantum Architectures
TCS-3702	In this setting there are still many classical tools which we do not know how to extend to the quantum case.	Algorithms, Bounds, and Strategies for Entangled XOR Games
TCS-3704	This seems a difficult problem to approach however, and thus we leave the following open problem.	Acceptance Ambiguity for Quantum Automata
TCS-3709	We do not know how to lift Q or Q0 to their analogous communication measures; this is likely to be significantly harder.	Quantum Distinguishing Complexity, Zero-Error Algorithms, and Statistical Zero Knowledge
TCS-3737	Is there any such example in the context of big data and/or machine learning?	Quantum SDP Solvers: Large Speed-Ups, Optimality, and Applications to Quantum Learning
TCS-3742	The immediate question one could ask is: what upper bound can we give for an online QGES?	Complexity-Theoretic Limitations on Blind Delegated Quantum Computation
TCS-3744	What are other possible applications?	Quantum Chebyshev’s Inequality and Applications
TCS-3758	Can one prove that unconditionally?	Classical Algorithms from Quantum and Arthur-Merlin Communication Protocols
TCS-3870	2.2.2 Semi-explicit SNGS Hamiltonians via oracle separations It is an open question in quantum complexity theory of whether QCMA is equal to QMA.	Approximate Low-Weight Check Codes and Circuit Lower Bounds for Noisy Ground States
TCS-3880	The problem of determining its exact value, posed in [25], remains open.	Quantum Query Algorithms are Completely Bounded Forms
TCS-3881	We leave open the problem of determining the complexity of BQPO LH k,classical .	A Complete Characterization of Unitary Quantum Space
TCS-3886	Indeed, whether ∃ · BPP = MA remains an open question [11].	Quantum Generalizations of the Polynomial Hierarchy with Applications to QMA(2)
TCS-4028	Or, can a relatively general result be proven that excludes some of such functions?	Quantum Lower Bounds for Tripartite Versions of the Hidden Shift and the Set Equality Problems
TCS-4035	We do not know whether all our axioms are independent, nor we have looked at rewrite strategies, or ways of orienting the equations, beyond the […]	A Diagrammatic Axiomatisation of Fermionic Quantum Circuits
TCS-4048	The problem is that we do not know how to fix those holes later on: our characterization of 2D − CLH ∗ (k, 2) instances […]	On the Complexity of Two Dimensional Commuting Local Hamiltonians
TCS-4074	Classically, it is still an open question whether the log(1/ε)-factor in the upper bound of [17] for (ε, δ)-proper PAC learning is necessary.	Optimal Quantum Sample Complexity of Learning Algorithms
TCS-4112	It remains open, whether the log-factor can be shaved off of the upper bound (compare [2]).	The Complexity of Quantum Disjointness
TCS-4131	What is the relationship between PQMA[log] and PUQMA[log] ?	The Complexity of Simulating Local Measurements on Quantum Systems
TCS-4162	Finally, while the present results provide necessary conditions for strong non-locality in three-qubit states, the more general question of characterising strong non-locality of n-qubit states, […]	Minimum Quantum Resources for Strong Non-Locality
TCS-4188	Can we eliminate the round dependence in Theorem 33?	Separating Quantum Communication and Approximate Rank
TCS-4223	Does state-dependent contextuality admit a similar treatment?	The Quantum Monad on Relational Structures
TCS-4238	Or, on the contrary, is the amount of certified randomness against no-signaling adversaries bounded also in the sequential scenario?	A Single Entangled System Is an Unbounded Source of Nonlocal Correlations and of Certified Random Numbers
TCS-4239	Can one define and show hedging for bit-commitment?	Quantum Coin Hedging, and a Counter Measure
TCS-4272	Now, can we deduce this same equality from the supplementarity of some of its multiples?	ZX-Calculus: Cyclotomic Supplementarity and Incompleteness for Clifford+T Quantum Mechanics
TCS-4282	Is the bit-complexity of O((n + m)M (n)) for producing explicit assignments optimal?	A Linear Time Algorithm for Quantum 2-SAT
TCS-4300	Is it possible to give an algorithm with gate complexity only poly(d, log q)?	Optimal Quantum Algorithm for Polynomial Interpolation
TCS-4326	Can we have examples where the dependence on input size is better?	Lower Bound on Expected Communication Cost of Quantum Huffman Coding
TCS-4344	As a consequence, the completeness of the ZX-calculus augmented with the supplementarity is an open question for any fragment which does not contain rational multiples […]	Supplementarity is Necessary for Quantum Diagram Reasoning
TCS-4374	It is an open problem if cases like this can be tackled, e.g., by considering multi-register algorithms.	Quantum Algorithms for Abelian Difference Sets and Applications to Dihedral Hidden Subgroups
TCS-4382	Is it true that quantum algorithms with 2 queries are equivalent to polynomials of degree 4?	Polynomials, Quantum Query Complexity, and Grothendieck's Inequality
TCS-4383	What is the correct characterization there?	Sculpting Quantum Speedups
TCS-4419	Is it true that for any n-vertex graph H we have: (a) R(fH ) = Ω(αH · n)?	Quantum Query Complexity of Subgraph Isomorphism and Homomorphism
TCS-4429	Do multi-source extractors remain secure also in the presence of non-signalling side information?	Quantum-Proof Multi-Source Randomness Extractors in the Markov Model
TCS-4457	We conjecture that the power of any two-qubit Hamiltonian obeys a dichotomy: either H is efficiently classicaly simulable in this model,	Complexity Classification of Two-Qubit Commuting Hamiltonians
TCS-4469	Is qq-QAM contained in BP · PP?	Generalized Quantum Arthur-Merlin Games
TCS-4493	In particular, we do not know if a sharp threshold behaviour between both regimes exists or not.	How Many Quantum Correlations Are Not Local?
TCS-4499	It is an open question whether a similar result for maximum matching in a general nonbipartite graph can be proven, perhaps by applying Theorem 5.2 […]	Upper Bounds on Quantum Query Complexity Inspired by the Elitzur-Vaidman Bomb Tester
TCS-4508	2 A natural question (which we leave open) is how to define a relative entropy between assemblages that is non-increasing under generic assemblage transformations instead […]	The Resource Theory of Steering
TCS-4509	A polynomial number of verifications is optimal for unconditionally secure schemes, nevertheless, a natural question that still remains open is whether we can have computationally […]	New Constructions for Quantum Money
TCS-4530	Is it possible to extend the Grover search analysis to handle CQ games?	Parallel Repetition for Entangled k-player Games via Fast Quantum Search
TCS-4579	Could we simulate arbitrary von Neumann measurements as efficiently as the case of equatorial measurements, i.e. with O(n log n) bits of communication?	Exact Classical Simulation of the GHZ Distribution
TCS-4586	While the query complexity of oracle identification in terms of M and N has been fully characterized, finding an optimal quantum algorithm for oip(C) remains […]	An optimal quantum algorithm for the oracle identification problem
TCS-4595	What is the computational power conferred by 1 time-traveling qubit?	One Time-traveling Bit is as Good as Logarithmically Many
TCS-4601	Can we replace bounds involving Q∞ with tighter bounds involving Q2 ?	Difficult Instances of the Counting Problem for 2-quantum-SAT are Very Atypical
TCS-4602	Which is a necessary condition for a family of MBQC resource states to be universal for the DQC1 computation?	Blindness and Verification of Quantum Computation with One Pure Qubit
TCS-4603	Alternatively, can we prove tightness of the current lower bound?	Graph-theoretical Bounds on the Entangled Value of Non-local Games
TCS-4610	This raises the question: is there a sense in which a MBQC procedure on a graph G, which implements unitary a transformation using only measurements […]	Quantum Linear Network Coding as One-way Quantum Computation
TCS-4615	The difficult question of whether or not the quantum entropy satisfies inequalities beyond positivity and SSA remains open for four or more parties.	The Quantum Entropy Cone of Stabiliser States
TCS-4638	Can we improve the factor 1/4 in Corollary 4?	Fooling One-Sided Quantum Protocols
TCS-4639	Can we say more about the dependence of MADVc on c?	Explicit relation between all lower bound techniques for quantum query complexity
TCS-4642	What is the query complexity of verifying a given shift?	Easy and Hard Functions for the Boolean Hidden Shift Problem
TCS-4664	Can we extend the D(Bipartite Matchingn ) ≤ O(n3/2 log n) bound to general graphs?	New bounds on the classical and quantum communication complexity of some graph properties
TCS-4696	Quantum Merkle Trees — Open Problem 2	Quantum Merkle Trees
TCS-4697	Efficient Learning of Quantum States Prepared With Few Non-Clifford Gates — Question 10.2	Efficient Learning of Quantum States Prepared With Few Non-Clifford Gates
TCS-4698	Cutting circuits with multiple two-qubit unitaries — Question 1	Cutting circuits with multiple two-qubit unitaries
TCS-4699	Quantum Meets the Minimum Circuit Size Problem — Open Problem 5	Quantum Meets the Minimum Circuit Size Problem
TCS-4700	On the Suitability of Syndrome Decoding for Proof-of-Work under Quantum Adversaries: Design and Analysis — Unresolved-question passage on page 15	On the Suitability of Syndrome Decoding for Proof-of-Work under Quantum Adversaries: Design and Analysis
TCS-4701	Spectral Gaps with Quantum Counting Queries and Oblivious State Preparation — Unresolved-question passage on page 20	Spectral Gaps with Quantum Counting Queries and Oblivious State Preparation
TCS-4702	An adversary bound for quantum signal processing — Conjecture 4.15	An adversary bound for quantum signal processing
TCS-4704	Information-theoretic generalization bounds for learning from quantum data — Open Problem 1	Information-theoretic generalization bounds for learning from quantum data
TCS-4705	Programming tools for Analogue Quantum Computing in the High-Performance Computing Context – A Review — Explicit open question on PDF page 9	Programming tools for Analogue Quantum Computing in the High-Performance Computing Context – A Review
TCS-4706	Tight Bounds on the Spooky Pebble Game: Recycling Qubits with Measurements — Unresolved-question passage on page 22	Tight Bounds on the Spooky Pebble Game: Recycling Qubits with Measurements
