TCS-2683	Whether wrlp can also be defined with fairness conditions in mind and thus applying superlinearity directly on wrlp, is an open question.	Towards Concurrent Quantitative Separation Logic
TCS-2684	We leave open the question of whether there is a better algorithm, hopefully in PSpace.	Completeness Theorems for Kleene Algebra with Top
TCS-2698	Therefore, it is still an open problem for us to find a notion of morphism allowing to show the equivalence between the encodings.	Adequate and Computational Encodings in the Logical Framework Dedukti
TCS-2699	We do not know whether the TRS DP is terminating (independent of P ).	Polynomial Termination Over ℕ Is Undecidable
TCS-2704	Can phase semantics also shed light on the polarisation of fixed points?	Phase Semantics for Linear Logic with Least and Greatest Fixed Points
TCS-2708	Thus, the exact complexity, both in the general and the one-dimensional case, remains open.	Reachability in Bidirected Pushdown VASS
TCS-2716	We leave the complexity of Rewr(CCQ, ACQ, ACQ) as an open problem.	Rewriting with Acyclic Queries: Mind Your Head
TCS-2746	In fact, we do not know if one can deduce that S is ϵ-pseudo-reachable from knowing that Aϵ (n) intersects S for sufficiently large n.	The Pseudo-Reachability Problem for Diagonalisable Linear Dynamical Systems
TCS-2750	In particular, we do not know whether there is a maximal degree.	On Uniformization in the Full Binary Tree
TCS-2777	We note that while similar considerations can be used in order to decide whether Player 2 (∞, m2 )-wins a given BBEG, for m2 ∈ […]	Energy Games with Resource-Bounded Environments
TCS-2778	Since in Hµ the semantics of quantifiers is the same as HyperLTL, we conjecture that the inexpressiveness result for HyperLTL in [5] can be extended […]	Expressiveness and Decidability of Temporal Logics for Asynchronous Hyperproperties
TCS-2781	It is well-known that the universe of sheaves is not a sheaf in general, and in particular the existence of universes in the first model […]	Gardening with the Pythia A Model of Continuity in a Dependent Setting
TCS-2789	However, we are not aware of an explicit internal proof that division by two implies excluded middle, so that we leave it as an interesting […]	Division by Two, in Homotopy Type Theory
TCS-2790	Considering a configuration C such that Γ ⊢ C :: (Γ, a : X[n]) where X[i] is a positive coinductive type, we conjecture that |C|, […]	Type-Based Termination for Futures
TCS-2815	The use of finite-horizon objectives simplifies the analysis (note that the existence of infinite-horizon NE for CSGs is an open problem [7], and the verification […]	Probabilistic Model Checking for Strategic Equilibria-Based Decision Making: Advances and Challenges (Invited Talk)
TCS-2824	We conjecture that if c(A1 , . . . , An ) is a formula defined in terms of the standard connectives, and we derive […]	Classical Natural Deduction from Truth Tables
TCS-2825	Note that the second point implies, by Theorem 49, that there exists N such that M −→b N and normal(N ), which is what we […]	Linear Rank Intersection Types
TCS-2839	This raises the question: what is the dynamic d-logic of Euclidean spaces in general, and of the plane in particular?	Dynamic Cantor Derivative Logic
TCS-2840	These are sufficient to model transfinite hierarchies, but as we noted in Section 4.1, we do not know how to model strict inclusions with them.	Generalized Universe Hierarchies and First-Class Universe Levels
TCS-2845	In this case, we do not know if the limit will be empty or not.	Strategy Synthesis for Global Window PCTL
TCS-2854	The last problem that we deliberately leave open concerns the notion of generalized circuits used in this paper.	On Dynamic Lifting and Effect Typing in Circuit Description Languages
TCS-2855	The extension of these results, notably normalization and consistency, to the entirety of theory U is still an open question.	Expressing Ecumenical Systems in the λΠ-Calculus Modulo Theory
TCS-2866	If not, is there an fpt algorithm which computes such a colouring for every r?	Differential Games, Locality, and Model Checking for FO Logic of Graphs
TCS-2867	Is it possible to tune differently the side condition of the ( , ⊸ cut)-rule to capture other complexity classes?	Parallelism in Soft Linear Logic
TCS-2893	Does the hardness scale with assembly size or tile set size?	Unique Assembly Verification in Two-Handed Self-Assembly
TCS-2937	It also raises the question of the equivalence with TPTL: would it be possible to find an equivalent collection of chronicles for a TPTL formula?	Logical Forms of Chronicles
TCS-2943	Whether our new upper bounds are tight remains an open problem: neither our coNP- hardness result for the reachability synthesis problem nor the PSPACE and […]	Revisiting Parameter Synthesis for One-Counter Automata
TCS-2963	We leave open the question of whether these coercions can be interpreted as a continuous embedding of one space into another and what this means […]	A Metatheoretic Analysis of Subtype Universes
TCS-2985	What is the complexity of the model checking problem for ordered logics, if we use list encoding to encode our structures?	Towards a Model Theory of Ordered Logics: Expressivity and Interpolation
TCS-2995	If yes, can small certificates be computed efficiently?	Explaining Behavioural Inequivalence Generically in Quasilinear Time
TCS-3022	We leave it as an open problem, whether or not signals and conditions add to the expressive power of BCP.	Pushdown Automata and Context-Free Grammars in Bisimulation Semantics
TCS-3029	We do not know yet whether it could be used to reason about justness.	Enabling Preserving Bisimulation Equivalence
TCS-3030	However, the complexity of UBA universality is an open problem [30]; only membership in PSPACE is known.	Linear-Time Model Checking Branching Processes
TCS-3031	We conjecture that Coq’s restriction preventing large elimination principles for non-sub-singleton propositions makes LEM and CT consistent in Coq.	Church’s Thesis and Related Axioms in Coq’s Type Theory
TCS-3036	Is the 2HAM alone capable of covert computation?	Covert Computation in Staged Self-Assembly: Verification Is PSPACE-Complete
TCS-3040	Also, type-preserving CPS translation of effect handlers is an open problem in the community [23].	A Functional Abstraction of Typed Invocation Contexts
TCS-3041	We do not know whether Mints’ λ-calculus with restricted η-expansion (such that no β-redexes are created) has the Z-property.	Z; Syntax-Free Developments
TCS-3052	Many fundamental questions remain open, in particular for model checking and related problems, like evaluation and enumeration.	The Theory of Concatenation over Finite Models
TCS-3106	We conjecture that a simple syntactic occurrence check, along the lines outlined in Remark 13, for erased arguments will suffice.	Simulating Large Eliminations in Cedille
TCS-3133	Another avenue for potentially extending Cantor normal forms would be using superleaves [19]; we do not know how such a “bigger” version of Cnf would […]	Connecting Constructive Notions of Ordinals in Homotopy Type Theory
TCS-3141	We conjecture that the canonicity and normalisation displayed models from the corresponding proofs for type theory [10, 6] can be formalised in pure intensional type […]	Internal Strict Propositions Using Point-Free Equations
TCS-3149	We conjecture that this is not the case, and that entailment is undecidable for progressing, connected and non-e-restricted sets.	Decidable Entailments in Separation Logic with Inductive Definitions: Beyond Establishment
TCS-3168	We conjecture that also infinitary data types are supported in this model, but this result is out of reach of our current proof method.	Quantitative Polynomial Functors
TCS-3187	Does the same hold for two other techniques that we have considered in the paper – the fixed point technique and the strategy improvement technique?	Continuous Positional Payoffs
TCS-3200	What is the complexity of model checking for TeamLTL (with the disjunction ∨ but without additional atoms and connectives)?	Linear-Time Temporal Logic with Team Semantics: Expressivity and Complexity
