TCS-0023	Learning growing-size DNFs under uniform inputs	Mathematics and Computation (2018 draft)
TCS-2453	The α = 0 case is subtle for both L2 - and L∞ -recovery and we leave it as an open question for future work.	Toward L_∞Recovery of Nonlinear Functions: A Polynomial Sample Complexity Bound for Gaussian Random Fields
TCS-2454	For example, can we get TILU schemes for all concept classes with VC- dimension d, whose space complexity scales as poly(d, log(n), log(|X |))?	Ticketed Learning–Unlearning Schemes
TCS-2459	Finally, we leave the door open for the possibility of randomized algorithms that achieve sub-quadratic complexity and are correct with high probability.	On The Computational Complexity of Self-Attention
TCS-2461	It is an open question to show that such limitations exist for the subclasses of SCO problems with smooth or strongly-convex loss functions.	Limitations of Information-Theoretic Generalization Bounds for Gradient Descent Methods in Stochastic Convex Optimization
TCS-2462	Finally, in the fixed-budget setting, characterizing the impact of not knowing the variances on the probability of misidentifying the best-arm is still an open problem.	Dealing with Unknown Variances in Best-Arm Identification
TCS-2463	We conclude with a number of open directions for future research. • The main question motivating this work remains open, namely, for randomized algorithms using […]	On the complexity of finding stationary points of smooth functions in one dimension
TCS-2500	However, the bound we obtain may likely be improvable, and generally we leave the question of obtaining a tightest possible adaptively-achievable mistake bound as an […]	Optimal Prediction Using Expert Advice and Randomized Littlestone Dimension
TCS-2501	If we do not know the tree structure, we use the algorithm of Daskalakis et al. (2011) that, given approximations α̂ij of the correlations between […]	Learning and Testing Latent-Tree Ising Models Efficiently
TCS-2504	In sparse PCA, since we do not know β exactly, it might not be easy to understand if the observed s was correct or not […]	Sparse PCA Beyond Covariance Thresholding
TCS-2518	Such a generalization of our results does not seem to be trivial and therefore we leave this as an open research direction.	Computing Paths of Large Rank in Planar Frameworks Deterministically
TCS-2521	For the other direction, the best upper bound we are aware of is fw ≤ 2mcw and we leave open whether this is tight.	Tight Algorithmic Applications of Clique-Width Generalizations
TCS-2557	Does every 0 1 disambiguation H of H satisfy VC(H) = O(1)?	Online Learning and Disambiguations of Partial Concept Classes
TCS-2573	What other natural problems belong to PLC or are PLC-complete?	Extremal Combinatorics, Iterated Pigeonhole Arguments and Generalizations of PPP
TCS-2596	Is there any other RGO algorithm that has even better dimension dependence than Algorithm 2?	Improved dimension dependence of a proximal algorithm for sampling
TCS-2618	Despite of these similarities, our results do not establish a fundamental connection between privacy and switching constraints and we leave this as an open question […]	Private Online Prediction from Experts: Separations and Faster Rates
TCS-2619	Note that known CSQ hardness results rule out the possibility of improving to do(k) for our algorithm, but we leave as an interesting open question […]	Learning Narrow One-Hidden-Layer ReLU Networks
TCS-2620	We do not know and leave it open whether the dependence on b in Theorems 2.2 and 2.3 is necessary, or whether different techniques and […]	Shortest Program Interpolation Learning
TCS-2621	Establishing a rigorous positive result for tensor power iteration in this regime is challenging, and we leave it as an interesting open question for future […]	Lower Bounds for the Convergence of Tensor Power Iteration on Random Overcomplete Models
TCS-2622	We conjecture that our results can be extended to randomized algorithms, using the same technique in Nemirovskij and Yudin (1983) and explicit construction in Woodworth […]	On the Lower Bound of Minimizing Polyak-Łojasiewicz functions
TCS-2623	Our discretization analysis translates their result into an algorithmic guarantee, which indeed enjoys better condition number dependence than prior works on ULMC, although we leave […]	Improved Discretization Analysis for Underdamped Langevin Monte Carlo
TCS-2629	#CorM(S, B, β + 2η1 + 2η2 , δ) m 2 m 1 1 1 1 1 1 ≤O log + log + log log […]	Comparative Learning: A Sample Complexity Theory for Two Hypothesis Classes
TCS-2654	Does there exist an online learning rule that is strongly universally consistent for the family {(X, Y) : X ∈ SUOL}?	Universally Consistent Online Learning with Arbitrarily Dependent Responses
TCS-2655	Is the set SUOL invariant to the specification of (Y, ℓ), subject to (Y, ℓ) being separable with 0 < ℓ̄ < ∞?	Universal Online Learning with Bounded Loss: Reduction to Binary Classification
TCS-2665	(a key challenge, relaxed formulation):5 For which label-invariant properties of distributions does it hold that testing them in the DoHO model has query complexity poly(1/ϵ) […]	Testing Distributions of Huge Objects
TCS-2670	Does there exist a hypothesis class that is properly CPAC learnable but not properly SCPAC learnable?	On characterizations of learnability with computable learners
TCS-2675	This open problem is whether there is an algorithm other than uniform sampling itself that performs uniformly no worse than uniform sampling in the fixed-budget […]	Open Problem: Optimal Best Arm Identification with Fixed-Budget
TCS-2740	The existence of an adaptive prediction policy which can be efficiently learned remains an open question.	Double Coverage with Machine-Learned Advice
TCS-2770	We conjecture that z = 2 suffices when the underlying alphabet Σ has at least 5 symbols.	Distinguishing Relational Pattern Languages With a Small Number of Short Strings
TCS-2772	While we have endeavored to complete the story, some points remain open.	Scale-free Unconstrained Online Learning for Curved Losses
TCS-2773	It is an open question whether we can construct hard learning instances for µ ≥ 1.	Learning to Control Linear Systems can be Hard
TCS-2793	While we leave the case of knights open, we do show that a natural generalization of Generalized Solo Chess restricted to knights, Graph Capture, is […]	Chess Is Hard Even for a Single Player
TCS-2819	Unfortunately, we leave open the problem of theoretically bounding dmax , although we conjecture that dmax is small for road networks and other similar types […]	Efficient Exact Learning Algorithms for Road Networks and Other Graphs with Bounded Clustering Degrees
TCS-2827	In the case of bounded losses, both the question of the existence of optimistically universal online learning rules, and of concisely characterizing the set SUOL, […]	Universal Online Learning with Unbounded Losses: Memory Is All You Need
TCS-2828	Although the trajectory based assumptions have been shown to hold for gradient flow on unnormalized nets under certain regularity conditions, establishing similar conditions for weight […]	Inductive Bias of Gradient Descent for Weight Normalized Smooth Homogeneous Neural Nets
TCS-2829	If the cardinality of every subset in a training set is at most k ≥ 1, then every optimal maximum likelihood marginal kernel for the […]	Hardness of Maximum Likelihood Learning of DPPs
TCS-2832	We conjecture that it is not possible to achieve a similar construction to ours with width less than d + 2, unless we increase the […]	Width is Less Important than Depth in ReLU Neural Networks
TCS-2833	We conjecture that hierarchical localities are also the key ingredient to break the curse of dimensionality for approximation in finite-width neural networks, bringing down the […]	Eigenspace Restructuring: A Principle of Space and Frequency in Neural Networks
TCS-2849	In our case however we conjecture that there is a unique extremal example which might mean that the problem is easier.	A Variant of the VC-Dimension with Applications to Depth-3 Circuits
TCS-2873	Is there a polynomial kernel with respect to r-pvc for constant r?	On Polynomial Kernels for Traveling Salesperson Problem and Its Generalizations
TCS-2939	Can the distributions analyzed in the paper be generated by a neural network (of moderate size)?	Depth and Feature Learning are Provably Beneficial for Neural Network Discriminators
TCS-2965	A bound in the general strongly convex setting (not assuming k-conservatism) was given by Malinovskiy et al. (2020, Theorem 2.14), though whether this bound can […]	Iterated Vector Fields and Conservatism, with Applications to Federated Learning
TCS-2968	Whether such arguments can be applied to remove the dependence on d from the above bound is a curious problem we leave open for future […]	Generalization Bounds via Convex Analysis
